session,AI,driver,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,startpos
F2_19R06SPA_R1,,VER,M,M,M,M,M,M,M,M,M,M,13
F2_19R06SPA_R1,,ZEN,M,M,M,M,M,M,M,M,M,M,30
F2_19R06SPA_R1,,SCH,M,M,M,M,M,M,M,M,M,M,28
F2_19R06SPA_R1,,HYM,M,M,M,M,M,M,M,M,M,M,24
F2_19R06SPA_R1,,VIS,M,M,M,M,M,M,M,M,M,M,16
F2_19R06SPA_R1,,HUG,M,M,M,M,M,M,M,M,M,M,5
F2_19R06SPA_R1,,AND,M,M,M,M,M,M,M,M,M,M,22
F2_19R06SPA_R1,,TSU,M,M,M,M,M,M,M,M,M,M,3
F2_19R06SPA_R1,,CAR,M,M,M,M,M,M,M,M,M,M,18
F2_19R06SPA_R1,,EST,M,M,M,M,M,M,M,M,M,M,26
F2_19R06SPA_R1,,DEF,M,M,M,M,M,M,M,M,M,M,7
F2_19R06SPA_R1,,PIQ,M,M,M,M,M,M,M,M,M,M,2
F2_19R06SPA_R1,,KAR,M,M,M,M,M,M,M,M,M,M,21
F2_19R06SPA_R1,,PUL,M,M,M,M,M,M,M,M,M,M,8
F2_19R06SPA_R1,,VIP,M,M,M,M,M,M,M,M,M,M,6
F2_19R06SPA_R1,,YIF,M,M,M,M,M,M,M,M,M,M,15
F2_19R06SPA_R1,,PER,M,M,M,M,M,M,M,M,M,M,11
F2_19R06SPA_R1,,DEL,M,M,M,M,M,M,M,M,M,M,29
F2_19R06SPA_R1,,FER,M,M,M,M,M,M,M,M,M,M,25
F2_19R06SPA_R1,,ARM,M,M,M,M,M,M,M,M,M,M,19
F2_19R06SPA_R1,,DAR,M,M,M,M,M,M,M,M,M,M,1
F2_19R06SPA_R1,,SHW,M,M,M,M,M,M,M,M,M,M,4
F2_19R06SPA_R1,,NAT,M,M,M,M,M,M,M,M,M,M,20
F2_19R06SPA_R1,,DRU,M,M,M,M,M,M,M,M,M,M,23
F2_19R06SPA_R1,,SAR,M,M,M,M,M,M,M,M,M,M,9
F2_19R06SPA_R2,,BEC,M,M,M,M,M,M,M,M,M,M,10
F2_19R06SPA_R2,,FEW,M,M,M,M,M,M,M,M,M,M,9
F2_19R06SPA_R2,,LUN,M,M,M,M,M,M,M,M,M,M,5
F2_19R06SPA_R2,,LAW,M,M,M,M,M,M,M,M,M,M,12
F2_19R06SPA_R2,,LAA,M,M,M,M,M,M,M,M,M,M,24
F2_19R06SPA_R2,,VER,M,M,M,M,M,M,M,M,M,M,17
F2_19R06SPA_R2,,ZEN,M,M,M,M,M,M,M,M,M,M,22
F2_19R06SPA_R2,,SCH,M,M,M,M,M,M,M,M,M,M,27
F2_19R06SPA_R2,,HYM,M,M,M,M,M,M,M,M,M,M,26
F2_19R06SPA_R2,,VIS,M,M,M,M,M,M,M,M,M,M,20
F2_19R06SPA_R2,,HUG,M,M,M,M,M,M,M,M,M,M,21
F2_19R06SPA_R2,,AND,M,M,M,M,M,M,M,M,M,M,14
F2_19R06SPA_R2,,TSU,M,M,M,M,M,M,M,M,M,M,3
F2_19R06SPA_R2,,CAR,M,M,M,M,M,M,M,M,M,M,16
F2_19R06SPA_R2,,EST,M,M,M,M,M,M,M,M,M,M,23
F2_19R06SPA_R2,,DEF,M,M,M,M,M,M,M,M,M,M,29
F2_19R06SPA_R2,,PIQ,M,M,M,M,M,M,M,M,M,M,8
F2_19R06SPA_R2,,KAR,M,M,M,M,M,M,M,M,M,M,19
F2_19R06SPA_R2,,PUL,M,M,M,M,M,M,M,M,M,M,2
F2_19R06SPA_R2,,VIP,M,M,M,M,M,M,M,M,M,M,4
F2_19R06SPA_R2,,YIF,M,M,M,M,M,M,M,M,M,M,15
F2_19R06SPA_R2,,PER,M,M,M,M,M,M,M,M,M,M,30
F2_19R06SPA_R2,,DEL,M,M,M,M,M,M,M,M,M,M,28
F2_19R06SPA_R2,,FER,M,M,M,M,M,M,M,M,M,M,25
F2_19R06SPA_R2,,ARM,M,M,M,M,M,M,M,M,M,M,1
F2_19R06SPA_R2,,DAR,M,M,M,M,M,M,M,M,M,M,6
F2_19R06SPA_R2,,SHW,M,M,M,M,M,M,M,M,M,M,7
F2_19R06SPA_R2,,NAT,M,M,M,M,M,M,M,M,M,M,11
F2_19R06SPA_R2,,DRU,M,M,M,M,M,M,M,M,M,M,18
F2_19R06SPA_R2,,SAR,M,M,M,M,M,M,M,M,M,M,13
F2_19R07MON_R1,,BEC,S,S,S,S,S,S,S,S,S,S,21
F2_19R07MON_R1,,FEW,S,S,S,S,S,S,S,S,S,S,5
F2_19R07MON_R1,,LUN,S,S,S,S,S,S,S,S,S,S,1
F2_19R07MON_R1,,LAW,S,S,S,S,S,S,S,S,S,S,14
F2_19R07MON_R1,,LAA,S,S,S,S,S,S,S,S,S,S,15
F2_19R07MON_R1,,VER,S,S,S,S,S,S,S,S,S,S,3
F2_19R07MON_R1,,ZEN,S,S,S,S,S,S,S,S,S,S,2
F2_19R07MON_R1,,SCH,S,S,S,S,S,S,S,S,S,S,20
F2_19R07MON_R1,,HYM,S,S,S,S,S,S,S,S,S,S,23
F2_19R07MON_R1,,VIS,S,S,S,S,S,S,S,S,S,S,28
F2_19R07MON_R1,,HUG,S,S,S,S,S,S,S,S,S,S,18
F2_19R07MON_R1,,AND,S,S,S,S,S,S,S,S,S,S,16
F2_19R07MON_R1,,TSU,S,S,S,S,S,S,S,S,S,S,6
F2_19R07MON_R1,,CAR,S,S,S,S,S,S,S,S,S,S,4
F2_19R07MON_R1,,EST,S,S,S,S,S,S,S,S,S,S,26
F2_19R07MON_R1,,DEF,S,S,S,S,S,S,S,S,S,S,24
